	fluxes
CYTK2_c	-0.08167647523048595
EBP2r_c	0.0
EX_succ_eb	0.0
7ODGYLAPIGENINAT_c	0.0
DPR_c	0.0
OXFERROPROTII_m	1.41664047080943
ACS_pl	2.19832763470431
UMPK_pl	0.0
D2425SITOSTEROLRD_c	0.0
O2tdiff_plty	-118.59312734341869
GIBBA15OX_c	0.0
DHDPS_pl	0.0
10HGERANIALRD_c	0.0
OROTt_mic	0.6199204923874979
YUMPS_c	0.0
NICRNTt_cpl	0.0
G3PD1_c	0.0040340766987941494
CES12_c	0.07422969039934638
SELNPS_c	0.0
FORAMD_c	0.0
SUCCt3_cm	1.68624811844475
GNNUC_c	0.0
MMT_c	0.0
PENTOT_c	0.0
IPMD_pl	0.2735377579563531
CPMPS_c	0.0
GA12OX2_c	0.0
34HPPOR_c	0.0
MGCH_c	0.0
PHYQS_c	0.0
NAt_ec	0.0
MINPP_c	0.0
R05825_c	0.0
GCEAGLYCLT_plc	0.0
EX_damp_eb	0.0
DADNK_c	0.0
FRTT_c	0.0
N4N12M13N12M16M14N14NXT_c	0.0
ICL_x	0.0
XU5PFALDT_c	0.0
DADK_c	-0.0532853240579929
CICOARED_c	0.0
IAAASPS_c	0.0
PPA_pl	5.2671088920591265
CHLPCTD_c	0.0
ATPPRT_pl	0.3021690735080594
HDCAtdiff_pl	0.0
FRTT_pl	0.04068141001090491
DHDPRx_pl	0.0
IBAZZANENES_c	0.0
HMR_1502_c	0.0
LUBIMINS_c	0.0
LNSTLS_c	0.0
LACCASE_c	0.0
TROPR_c	0.0
SUCCOAH_m	0.0
MCCC_c	0.0
GLUGLUa_pl	0.0
DMSPAOX_c	0.0
COUCOAHCT_c	0.0
UDPG4E_c	0.0
NADHORpumpedproton_m_mmi	0.7083202354047151
pumped_H_fum_tx_v__v	0.0
MI3456PK_c	0.0
XYS9_g	0.02249471618790992
RSUCSLRED_pl	0.0
EX_mobd_eb	0.0
HXAND_c	0.0
HOMOMETOX_c	0.0
PULR_c	0.0
HPT_c	0.0
RPI_pl	35.21531025812379
AM_A3_pl	0.0
R03640_c	0.0
MGDG1829Z12Z1637Z10Z13ZDS_c	0.0
LEUTA_c	0.0
THYDROGRGRBACTERIOPHEOPHYTINS_c	0.0
INSH_c	0.0
MI12346PK_c	0.0
2PROPENYLGLATES_c	0.0
HSTPT_pl	0.3021690735080594
